
      08 Oct 2018
OSSOS corresondence list, for released blocks

This file is not intended to be a readable table, but rather a searchable
file to find the linkages between an OSSOS designation and the IAU Minor
Planet Center designations (which include both temporary, packed temporary,
and perhaps numbered or named designations).

E block

o3e01     K02GG6G   2002GG166 
o3e02     K13GD7H   2013GH137 
o3e03     K13GD7E   2013GE137 
o3e04     K13GD7J   2013GJ137 
o3e05     K13GD6W   2013GW136 
o3e06     K13GD7L   2013GL137 
o3e07     K13GD7G   2013GG137 
o3e08     K13GD7D   2013GD137 
o3e09     K13GD6Y   2013GY136 
o3e10     K13GD6O   2013GO136 
o3e11     K13GD6Z   2013GZ136 
o3e12     K13GD7F   2013GF137 
o3e13     K13GD6U   2013GU136 
o3e15     K13GD8D   2013GD138 
o3e16     K13GD7S   2013GS137 
o3e17     K13GD6V   2013GV136 
o3e18     K13GD7Z   2013GZ137 
o3e19     K13GD6R   2013GR136 
o3e20PD   K01FI5K   2001FK185 L4h05PD   l4h05     
o3e21     K13GD7Q   2013GQ137 
o3e22     K13GD7N   2013GN137 
o3e23PD   K01FI5O   2001FO185 (443843)  (i3843)   
o3e24     K13GD7R   2013GR137 
o3e25     K13GD7U   2013GU137 
o3e26     K13GD8A   2013GA138 
o3e27PD   K04E95U   2004EU95  
o3e28     K13GD7X   2013GX137 
o3e29     K13GD7O   2013GO137 
o3e30PD   K13EE9M   2013EM149 
o3e31     K13GD7T   2013GT137 
o3e32     K13GD8C   2013GC138 
o3e34PD   K13GD8F   2013GF138 
o3e35     K13GD7P   2013GP137 
o3e36     K13HF6T   2013HT156 
o3e37PD   K04H79J   2004HJ79  L4h13     l4h13     
o3e38     K13GD8B   2013GB138 
o3e39     K13GD6P   2013GP136 
o3e40     K13GD8E   2013GE138 
o3e41     K13GD7K   2013GK137 
o3e43     K13GD7V   2013GV137 
o3e44     K13GD8G   2013GG138 
o3e45     K13GD6Q   2013GQ136 
o3e48     K13GD6S   2013GS136 
o3e49     K13HF6R   2013HR156 
o3e51     K13GD7M   2013GM137 
o3e52     K13GD6T   2013GT136 
o3e53     K13GD7Y   2013GY137 
o3e54     K13GD7W   2013GW137 
o3e55     K13GD6X   2013GX136 

L block

o3l01     K13U15R   2013UR15  
o3l02     K13U17C   2013UC17  
o3l03     K13U17U   2013UU17  
o3l04     K13U17F   2013UF17  
o3l05     K13U17J   2013UJ17  
o3l06PD   K01QX1F   2001QF331 
o3l07     K13U17D   2013UD17  
o3l08     K13U17H   2013UH17  
o3l09     K13U15S   2013US15  
o3l10     K13U17A   2013UA17  
o3l11     K13U17O   2013UO17  
o3l12     K13U17Q   2013UQ17  
o3l13PD   K03SV7R   2003SR317 L3s05     l3s05     
o3l14     K13U18W   2013UW18  
o3l15     K13S99Z   2013SZ99  
o3l16     K13SA1B   2013SB101 
o3l17     K13U17Z   2013UZ17  
o3l18     K10RI8E   2010RE188 
o3l19     K13SA0M   2013SM100 
o3l20     K13U17V   2013UV17  
o3l21     K13SA0S   2013SS100 
o3l22     K06QI1A   2006QA181 
o3l23     K13SA1E   2013SE101 
o3l24     K13SA0T   2013ST100 
o3l25     K13SA0L   2013SL100 
o3l26     K13U18E   2013UE18  
o3l27     K13SA0P   2013SP100 
o3l28     K06QI1E   2006QE181 
o3l29PD   K13U17M   2013UM17  
o3l30     K13U17G   2013UG17  
o3l31     K13U17E   2013UE17  
o3l32     K13S99P   2013SP99  
o3l33     K13U17P   2013UP17  
o3l34     K13SA0Q   2013SQ100 
o3l35     K13SA0Y   2013SY100 
o3l36     K13SA0W   2013SW100 
o3l37     K13SA0X   2013SX100 
o3l38     K13SA1D   2013SD101 
o3l39     K16B81P   2016BP81  
